name,density,atomic_mass,electron_affinity,thermal_conductivity,valence,electronegativity,critical_temp
Synth-147,7.21,68.14,25.21,215.72,3,2.88,9.41
Synth-148,6.39,132.11,153.51,390.31,6,3.11,33.74
Synth-149,2.22,38.06,92.42,420.62,6,1.39,18.27
Synth-150,10.26,137.07,99.17,130.25,7,2.57,26.89
Synth-151,10.96,52.55,38.63,161.31,7,1.06,20.85
Synth-152,3.4,127.34,44.38,121.32,5,1.47,7.23
Synth-153,7.54,128.76,182.35,239.98,3,1.09,30.59
Synth-154,3.09,108.54,18.48,341.66,5,1.49,22.49
Synth-155,8.72,119.3,54.24,114.2,3,2.59,14.28
Synth-156,4.81,165.15,65.49,165.43,3,3.25,18.71
Synth-157,8.59,171.86,103.14,465.2,5,1.27,33.18
Synth-158,9.27,113.51,121.42,24.38,4,2.22,32.18
Synth-159,9.69,133.92,103.73,230.44,5,2.66,24.04
Synth-160,3.08,196.93,25.98,355.81,3,3.37,8.16
Synth-161,11.16,42.75,56.3,75.31,3,2.41,21.37
Synth-162,4.3,42.25,170.28,23.78,1,1.41,24.26
Synth-163,2.37,36.66,131.14,69.19,5,2.45,33.37
Synth-164,7.55,144.99,133.34,459.42,5,1.6,37.81
Synth-165,5.71,99.54,137.34,4.73,7,3.43,32.87
Synth-166,10.3,167.12,154.95,94.24,4,1.82,28.27
Synth-167,10.08,147.53,21.04,15.74,4,2.62,6.17
Synth-168,5.17,83.39,79.66,55.4,1,0.77,15.05
Synth-169,11.53,190.69,112.51,310.11,2,1.82,24.37
Synth-170,4.91,164.88,74.31,120.9,3,3.15,9.64
Synth-171,7.15,71.4,170.45,284.65,3,2.41,33.45
Synth-172,4.56,89.2,101.69,295.14,3,1.94,25.19
Synth-173,11.36,79.74,156.04,424.73,3,3.32,35.06
Synth-174,3.65,49.95,171.88,2.47,6,3.09,46.2
Synth-175,2.45,48.08,105.91,426.7,1,1.6,24.46
Synth-176,6.35,197.86,182.81,309.6,3,2.22,27.73
Synth-177,11.92,103.2,121.55,81.46,2,2.07,32.81
Synth-178,10.92,92.83,171.55,386.49,3,2.47,32.67
Synth-179,9.49,158.64,74.71,427.76,5,1.64,31.87
Synth-180,10.91,125.07,104.78,127.21,1,1.38,19.88
Synth-181,10.93,197.87,110.97,459.4,3,3.26,20.88
Synth-182,7.19,168.26,29.95,227.28,1,3.29,0.5
Synth-183,5.16,111.08,85.72,301.75,7,3.06,28.75
Synth-184,9.72,91.51,184.29,492.33,6,3.44,36.46
Synth-185,8.62,207.46,129.86,180.83,2,2.79,25.81
Synth-186,5.74,156.37,43.73,406.6,2,2.84,16.23
Synth-187,2.94,200.73,74.38,159.27,1,2.84,2.76
Synth-188,9.47,42.51,46.4,399.63,4,2.05,22.26
Synth-189,4.62,181.6,14.72,300.41,6,1.98,12.81
Synth-190,11.37,141.04,186.22,108.26,5,1.37,40.45
Synth-191,4.41,43.17,95.16,207.07,7,2.51,36.51
Synth-192,3.23,131.77,68.43,158.89,3,1.51,15.82
Synth-193,10.31,150.36,123.71,39.15,2,1.42,32.76
Synth-194,3.53,22.34,11.39,15.01,4,2.34,8.01
Synth-195,3.79,106.32,62.82,173.3,2,1.85,17.36
Synth-196,7.99,176.83,143.58,9.62,7,1.31,40.91
Synth-197,10.75,76.12,130.42,82.83,2,2.98,27.84
Synth-198,3.96,107.12,196.54,362.62,4,3.11,34.68
Synth-199,5.1,104.04,127.87,354.07,4,1.17,30.83
