name,density,atomic_mass,electron_affinity,thermal_conductivity,valence,electronegativity,critical_temp
A15-048,6.87,66.33,40.44,29.65,5,1.75,20.69
A15-049,6.21,87.24,68.47,15.2,4,1.75,25.24
A15-050,6.08,55.99,50.82,35.56,5,1.66,18.9
A15-051,5.74,57.53,56.52,33.74,4,1.56,14.09
A15-052,8.8,61.2,79.02,34.0,5,1.66,23.29
A15-053,6.86,70.6,84.47,29.11,4,1.71,21.74
A15-054,6.49,108.15,51.69,11.32,5,1.59,17.54
A15-055,9.01,101.1,49.6,38.9,4,1.69,13.83
A15-056,6.05,76.24,54.47,13.81,5,1.78,16.3
A15-057,6.04,91.39,87.89,11.03,4,1.59,19.41
A15-058,6.55,74.54,40.52,25.55,5,1.72,15.39
A15-059,8.83,96.56,77.05,37.5,5,1.65,23.09
A15-060,5.99,91.95,87.27,20.05,5,1.74,14.9
A15-061,6.3,50.67,57.31,33.32,4,1.7,20.82
A15-062,9.21,85.82,49.18,24.32,4,1.65,22.39
A15-063,9.0,65.57,82.46,12.57,5,1.67,15.12
A15-064,8.27,105.41,47.89,29.17,5,1.57,19.18
A15-065,6.06,87.34,76.23,38.95,5,1.74,24.61
A15-066,8.35,104.12,88.17,30.76,5,1.63,15.69
A15-067,9.48,98.83,58.17,30.06,5,1.79,23.11
A15-068,8.26,74.86,44.58,27.8,5,1.77,17.81
A15-069,7.66,103.7,66.12,12.98,5,1.58,12.59
Cuprate-070,8.72,103.56,39.16,4.46,3,2.02,87.26
Cuprate-071,7.74,136.24,32.64,6.21,3,1.87,121.61
Cuprate-072,7.98,85.18,58.04,2.64,3,1.83,35.96
Cuprate-073,6.32,152.22,52.21,2.45,3,1.76,137.58
Cuprate-074,7.71,125.68,53.3,4.88,3,1.91,69.05
Cuprate-075,8.72,149.81,52.57,7.65,3,1.81,89.67
Cuprate-076,8.58,92.93,36.29,3.17,3,1.97,67.88
Cuprate-077,6.83,104.82,55.63,2.82,3,1.74,139.81
Cuprate-078,7.89,139.19,51.23,2.3,3,1.94,69.77
Cuprate-079,6.3,88.6,46.52,7.16,3,2.03,127.28
Cuprate-080,7.64,145.07,59.35,7.63,3,2.03,77.06
Cuprate-081,7.64,111.81,56.84,7.58,3,2.01,103.71
Cuprate-082,6.4,105.08,49.95,3.1,3,1.71,113.93
Cuprate-083,6.78,96.2,58.28,4.1,3,1.71,114.65
Cuprate-084,8.39,82.14,40.2,6.07,3,2.01,111.55
Cuprate-085,6.47,144.49,34.62,7.04,3,1.72,53.1
Cuprate-086,6.65,152.91,44.73,7.64,3,2.02,90.66
Cuprate-087,7.19,122.68,40.14,6.68,3,1.82,57.63
Cuprate-088,6.39,136.82,38.4,6.86,3,1.8,58.86
Cuprate-089,7.25,145.16,45.27,4.75,3,1.78,60.28
Cuprate-090,6.85,95.77,40.78,6.01,3,1.84,137.79
Cuprate-091,7.09,120.02,37.82,5.17,3,2.0,115.19
Cuprate-092,7.65,114.76,58.74,5.71,3,1.79,62.52
Cuprate-093,8.39,98.79,36.19,6.06,3,1.91,117.32
Cuprate-094,6.87,95.93,57.47,2.29,3,1.82,87.52
Cuprate-095,7.34,135.38,37.28,4.65,3,2.02,78.29
Cuprate-096,6.11,129.95,46.38,3.39,3,1.99,15.11
Cuprate-097,8.25,144.94,46.2,3.73,3,1.89,72.16
Cuprate-098,6.92,150.94,57.75,4.25,3,1.8,121.01
Cuprate-099,8.73,88.7,52.86,5.17,3,1.88,112.27
Cuprate-100,8.04,158.42,59.69,7.14,3,1.93,40.97
Cuprate-101,8.07,146.4,35.19,7.42,3,1.72,103.77
Cuprate-102,7.82,128.86,36.77,2.92,3,2.04,108.77
Cuprate-103,6.14,82.82,57.72,6.32,3,1.74,131.35
Cuprate-104,8.3,143.06,57.59,7.9,3,1.73,32.43
Cuprate-105,7.21,100.32,34.58,7.06,3,2.0,95.52
Cuprate-106,7.86,150.38,37.62,3.86,3,1.75,46.89
Cuprate-107,8.06,135.15,37.1,3.39,3,1.95,80.86
Cuprate-108,5.91,113.92,48.09,6.55,3,1.96,112.2
Cuprate-109,8.56,81.74,41.08,2.97,3,1.93,45.17
Cuprate-110,5.81,127.96,41.18,6.23,3,1.93,41.65
Cuprate-111,8.28,137.64,57.09,6.65,3,1.9,97.54
Cuprate-112,7.38,151.92,30.77,5.17,3,1.82,113.43
Cuprate-113,6.92,84.86,59.96,2.51,3,1.84,25.6
Cuprate-114,8.18,130.02,44.37,7.9,3,1.97,77.26
Cuprate-115,7.74,89.69,43.88,6.53,3,1.83,58.71
Cuprate-116,8.25,148.52,55.03,3.88,3,1.74,59.92
Cuprate-117,7.75,93.53,48.43,3.36,3,2.0,78.26
Cuprate-118,7.73,121.68,48.61,2.69,3,2.03,98.71
Cuprate-119,7.26,135.49,57.23,2.73,3,1.85,142.0
Cuprate-120,7.85,92.28,48.57,7.23,3,1.82,105.23
Cuprate-121,7.69,145.86,33.84,7.58,3,1.99,84.7
Cuprate-122,6.99,95.3,37.5,3.3,3,1.73,80.6
Cuprate-123,8.09,111.91,46.74,2.48,3,1.91,106.36
Cuprate-124,7.23,81.35,46.52,5.09,3,1.92,132.95
Cuprate-125,8.29,101.9,45.28,7.67,3,1.87,138.98
Cuprate-126,7.82,132.73,31.67,2.37,3,1.95,94.43
Cuprate-127,8.57,141.74,31.63,4.72,3,1.78,55.92
Cuprate-128,8.47,135.27,41.49,2.83,3,2.05,57.67
Cuprate-129,8.67,120.12,55.5,6.38,3,1.8,138.42
Cuprate-130,6.89,121.66,37.8,3.82,3,1.74,21.07
Cuprate-131,8.05,91.72,36.5,3.29,3,1.92,65.52
Cuprate-132,8.72,139.96,45.45,3.54,3,1.92,100.16
Cuprate-133,8.33,100.53,52.97,7.05,3,1.93,108.02
Cuprate-134,6.42,122.89,39.24,4.56,3,2.01,45.97
Cuprate-135,7.36,103.9,54.52,6.59,3,1.77,90.89
Cuprate-136,6.57,135.57,33.1,4.2,3,1.91,87.45
Cuprate-137,7.47,87.97,36.74,4.29,3,1.98,133.48
Cuprate-138,8.33,110.46,55.88,7.47,3,1.82,68.97
Cuprate-139,8.35,84.93,51.24,5.38,3,2.05,41.45
Cuprate-140,6.28,97.3,37.9,2.04,3,2.03,61.41
Cuprate-141,7.73,103.77,47.78,3.95,3,1.7,109.16
Cuprate-142,7.29,130.83,39.03,3.11,3,2.03,132.62
Cuprate-143,6.78,89.7,56.27,7.44,3,1.89,39.64
Cuprate-144,7.72,152.69,30.99,2.68,3,1.71,30.73
Cuprate-145,7.91,117.72,42.08,2.28,3,2.03,134.77
Cuprate-146,6.28,147.29,57.83,5.82,3,1.83,23.09
Cuprate-147,8.27,151.18,34.16,5.47,3,1.93,55.73
Cuprate-148,7.07,109.23,55.5,3.05,3,1.74,77.45
Cuprate-149,7.94,86.4,59.76,7.76,3,2.05,140.62
FeAs-150,5.19,80.78,68.74,8.35,3,1.82,43.03
FeAs-151,5.28,82.01,64.65,12.44,3,1.65,35.75
FeAs-152,7.34,68.16,61.42,14.22,3,1.83,20.87
FeAs-153,4.61,79.58,50.59,10.4,3,1.8,15.81
FeAs-154,5.9,66.99,62.13,17.43,3,1.81,37.23
FeAs-155,5.76,89.25,51.44,10.82,3,1.72,12.25
FeAs-156,4.77,82.9,59.7,13.96,3,1.82,25.49
FeAs-157,6.05,66.07,63.35,11.54,3,1.72,58.39
FeAs-158,5.62,62.63,66.69,17.85,3,1.8,43.01
FeAs-159,7.38,66.18,58.02,10.29,3,1.81,49.81
FeAs-160,5.9,87.1,51.89,16.2,3,1.81,18.27
FeAs-161,6.89,71.38,62.44,10.32,3,1.74,37.58
FeAs-162,4.67,66.9,63.11,16.54,3,1.74,5.74
FeAs-163,5.77,67.21,60.99,16.86,3,1.77,20.27
FeAs-164,7.28,79.72,66.18,11.78,3,1.83,14.71
FeAs-165,5.43,82.44,58.38,16.32,3,1.74,12.41
FeAs-166,7.24,86.99,57.09,12.79,3,1.84,8.23
FeAs-167,7.09,84.49,53.99,12.02,3,1.85,26.25
FeAs-168,4.65,63.51,69.81,11.46,3,1.72,39.23
FeAs-169,6.42,84.82,61.19,12.92,3,1.73,6.3
FeAs-170,6.92,68.52,59.39,14.11,3,1.69,25.12
FeAs-171,7.11,86.14,50.43,9.95,3,1.82,13.21
FeAs-172,5.92,60.88,62.3,13.04,3,1.68,61.09
FeAs-173,5.28,84.38,54.68,10.46,3,1.83,45.44
FeAs-174,5.72,79.51,53.89,17.37,3,1.74,13.41
FeAs-175,7.5,68.54,56.41,17.37,3,1.72,42.29
FeAs-176,6.69,80.56,64.07,11.53,3,1.74,45.54
FeAs-177,5.93,65.33,66.93,12.9,3,1.83,60.16
FeAs-178,6.49,76.29,55.23,17.35,3,1.71,22.43
FeAs-179,7.34,82.52,65.78,17.67,3,1.69,60.21
FeAs-180,7.26,79.26,61.89,10.93,3,1.81,34.55
FeAs-181,5.15,60.47,63.15,14.43,3,1.76,41.53
FeAs-182,7.26,62.17,57.64,17.42,3,1.67,3.26
FeAs-183,6.03,61.5,50.62,9.47,3,1.65,37.39
FeAs-184,5.59,60.22,64.66,12.58,3,1.82,35.65
FeAs-185,4.93,63.02,64.73,17.43,3,1.67,53.02
FeAs-186,6.3,84.07,61.27,16.64,3,1.77,46.97
FeAs-187,6.49,60.1,65.27,17.42,3,1.71,9.61
FeAs-188,5.09,87.63,65.63,12.28,3,1.84,56.86
FeAs-189,6.59,78.61,69.91,12.94,3,1.73,20.67
FeAs-190,7.17,65.96,52.73,17.19,3,1.76,47.36
FeAs-191,7.3,61.59,57.47,14.03,3,1.76,7.02
FeAs-192,6.43,71.55,65.09,8.84,3,1.76,32.92
FeAs-193,5.71,67.19,65.1,16.11,3,1.69,50.75
FeAs-194,7.47,79.37,58.42,9.18,3,1.8,26.63
FeAs-195,6.5,78.25,62.88,9.01,3,1.76,33.15
FeAs-196,6.16,80.67,52.68,8.86,3,1.79,57.49
FeAs-197,6.91,81.07,69.26,12.69,3,1.77,49.0
FeAs-198,6.08,87.23,58.28,15.73,3,1.68,43.89
FeAs-199,7.4,70.58,65.34,13.77,3,1.82,39.98
MgB2-like-200,2.69,18.07,33.43,40.18,3,1.42,39.25
MgB2-like-201,4.25,22.87,33.22,36.72,3,1.55,39.7
MgB2-like-202,3.88,21.92,23.88,30.27,3,1.66,32.92
MgB2-like-203,3.17,25.31,33.36,32.74,3,1.55,39.66
MgB2-like-204,4.37,33.87,31.1,58.1,3,1.49,43.09
MgB2-like-205,3.77,31.43,31.17,25.13,3,1.68,32.33
MgB2-like-206,3.2,22.03,33.67,54.44,3,1.58,36.98
MgB2-like-207,2.64,28.82,20.88,30.86,3,1.51,34.05
MgB2-like-208,4.42,32.18,24.84,32.74,3,1.55,30.85
MgB2-like-209,3.22,33.37,29.33,44.01,3,1.62,43.89
MgB2-like-210,4.08,21.96,20.86,50.73,3,1.65,44.25
MgB2-like-211,3.85,28.6,29.81,48.72,3,1.61,33.56
MgB2-like-212,3.11,30.55,28.02,37.48,3,1.41,37.9
MgB2-like-213,3.93,23.75,35.01,26.75,3,1.53,37.64
MgB2-like-214,3.96,32.5,36.0,54.0,3,1.4,41.94
MgB2-like-215,4.04,26.2,30.88,25.26,3,1.59,37.09
MgB2-like-216,2.88,26.6,38.03,25.86,3,1.42,33.75
MgB2-like-217,3.6,21.24,26.44,55.23,3,1.55,32.83
MgB2-like-218,3.92,28.27,29.9,45.71,3,1.46,37.77
MgB2-like-219,4.03,22.91,29.15,36.45,3,1.48,44.68
Chevrel-220,7.34,109.03,52.35,11.37,4,1.88,13.19
Chevrel-221,7.17,95.46,47.06,7.29,4,1.9,11.55
Chevrel-222,8.13,106.59,56.28,7.9,4,1.82,10.33
Chevrel-223,7.54,125.03,50.02,11.47,4,1.76,14.74
Chevrel-224,9.71,110.64,55.34,11.26,4,1.76,11.99
Chevrel-225,7.48,102.44,51.61,6.58,4,1.75,18.22
Chevrel-226,7.35,119.74,56.75,5.49,4,1.92,10.56
Chevrel-227,9.25,127.27,63.51,8.86,4,1.94,11.36
Chevrel-228,8.2,101.43,63.39,5.88,4,1.83,13.52
Chevrel-229,9.77,102.69,61.42,5.28,4,1.76,12.68
Chevrel-230,8.12,106.5,60.38,10.79,4,1.76,11.28
Chevrel-231,8.27,102.58,53.72,5.43,4,1.95,14.93
Chevrel-232,8.7,120.68,60.65,8.88,4,1.94,16.53
Chevrel-233,8.82,116.71,56.99,8.25,4,1.83,13.47
Chevrel-234,8.19,106.57,59.53,6.31,4,1.87,11.53
Chevrel-235,9.04,104.58,55.86,5.35,4,1.85,9.73
Chevrel-236,7.92,119.42,45.55,8.15,4,1.82,10.62
Chevrel-237,8.85,92.91,57.89,5.74,4,1.9,13.59
Chevrel-238,7.9,118.16,54.36,8.69,4,1.82,14.23
Chevrel-239,9.22,100.61,61.72,11.69,4,1.94,9.56
Chevrel-240,7.17,105.75,46.03,11.81,4,1.84,16.87
Chevrel-241,8.96,90.41,52.72,8.64,4,1.9,17.45
Chevrel-242,8.83,126.63,51.47,7.35,4,1.87,11.39
Chevrel-243,9.38,123.24,55.9,11.19,4,1.91,16.01
Chevrel-244,8.98,107.14,62.59,8.65,4,1.84,14.46
HeavyF-245,13.66,196.88,32.04,8.03,3,1.47,2.74
HeavyF-246,13.9,140.54,38.57,4.82,4,1.61,1.15
HeavyF-247,16.46,134.35,35.83,5.8,4,1.54,0.93
HeavyF-248,19.63,83.43,38.12,5.43,4,1.51,0.87
HeavyF-249,11.68,201.28,29.25,7.95,4,1.66,1.0
HeavyF-250,10.27,78.03,45.41,6.04,4,1.53,1.12
HeavyF-251,12.33,107.5,46.07,11.05,3,1.6,2.61
HeavyF-252,14.3,114.76,40.0,8.99,3,1.75,1.74
HeavyF-253,9.22,76.68,49.82,8.65,3,1.49,0.92
HeavyF-254,14.01,95.31,28.65,8.53,3,1.53,1.65
HeavyF-255,10.06,146.63,26.41,5.03,3,1.51,2.07
HeavyF-256,9.48,181.76,36.36,4.16,4,1.47,0.56
HeavyF-257,15.38,102.27,37.56,7.65,4,1.5,2.47
HeavyF-258,17.47,141.75,36.38,11.99,4,1.66,1.73
HeavyF-259,15.37,144.74,32.3,5.59,3,1.62,1.54
HeavyF-260,19.55,191.97,35.99,6.13,3,1.66,2.21
HeavyF-261,13.97,147.39,29.85,9.78,3,1.61,2.34
HeavyF-262,16.21,73.14,40.49,11.23,4,1.53,1.49
HeavyF-263,9.1,123.81,47.95,9.67,3,1.53,2.33
HeavyF-264,9.79,122.61,42.54,10.68,3,1.7,2.15
Hydride-265,5.99,57.09,56.61,20.44,2,1.67,186.26
Hydride-266,5.84,26.73,56.33,23.89,2,1.66,181.47
Hydride-267,5.12,49.67,76.34,20.48,2,2.11,193.03
Hydride-268,3.71,55.7,59.32,22.43,2,1.76,209.4
Hydride-269,3.28,28.35,68.62,18.03,2,2.04,175.91
Hydride-270,3.03,36.54,47.5,24.8,2,1.89,225.52
Hydride-271,2.89,49.35,56.05,17.3,2,1.57,187.22
Hydride-272,2.76,34.61,72.44,13.03,3,1.7,260.31
Hydride-273,5.2,55.9,67.71,18.05,2,1.91,154.09
Hydride-274,2.7,18.97,53.29,23.17,2,1.66,189.6
Hydride-275,4.22,50.98,75.78,18.06,3,2.14,244.46
Hydride-276,4.96,56.59,49.31,20.3,2,1.84,168.43
Hydride-277,4.89,16.83,67.09,19.78,2,1.95,197.82
Hydride-278,4.05,38.16,72.46,19.54,2,1.47,236.36
Hydride-279,2.82,36.26,79.64,23.1,3,1.88,245.59
Hydride-280,2.56,19.2,50.31,17.82,3,2.11,191.65
Hydride-281,4.45,16.84,60.27,23.16,2,1.84,214.22
Hydride-282,4.02,21.82,68.73,17.61,2,1.88,208.41
Hydride-283,4.84,54.83,64.78,24.49,2,1.79,249.0
Hydride-284,2.66,15.58,64.02,17.1,2,1.84,179.59
Hydride-285,5.73,57.46,60.1,13.18,3,1.81,208.95
Hydride-286,5.81,43.21,73.52,17.95,2,1.86,229.82
Hydride-287,4.17,45.92,64.75,19.92,2,1.55,192.25
Hydride-288,5.36,44.18,50.85,14.67,2,1.95,239.4
Hydride-289,2.62,48.23,58.21,20.88,2,1.57,210.98
Hydride-290,3.92,42.46,68.94,13.76,2,1.59,241.54
Hydride-291,5.03,24.06,78.66,12.33,3,1.86,198.88
Hydride-292,4.47,55.81,72.4,20.34,2,1.55,167.17
Hydride-293,3.45,51.24,79.74,21.87,2,1.77,215.65
Hydride-294,5.13,30.48,70.91,21.96,3,1.76,191.08
