물질명,유형,원소수,평균원자질량,평균가전자수,밀도,열전도도,전자비열계수,Tc
Eu3TaK3As2Rb3H4,고온,6,125.15,2.9,6.72,7.65,9.44,158.5
Lu4Mn3,화합물,2,100.2,2.0,1.7,34.81,14.16,4.76
Tb2Ga,합금,2,92.78,5.7,3.03,149.69,7.11,5.11
PtLi,화합물,2,50.6,1.6,10.15,36.78,8.99,18.35
CdTbTm2Be2,화합물,4,23.43,4.1,10.53,3.32,5.75,38.68
Yb3AuCo,합금,3,28.94,3.1,6.55,50.96,13.31,1.69
GaZrSrIr3,화합물,4,45.59,3.9,11.76,14.09,13.49,16.26
In,원소,1,9.37,4.0,14.62,9.53,7.41,2.45
LaSi2Al4Rh4Te2Hg2,고온,6,85.44,2.5,6.64,3.53,13.14,93.32
Mg2Eu2,합금,2,103.49,4.5,7.79,36.18,13.22,7.93
Sc3Co3Tb2,화합물,3,67.55,2.7,7.05,10.5,6.57,8.51
Te3Hf3F3,화합물,3,64.03,1.6,6.48,22.55,1.54,16.55
FeB2In2V,화합물,4,47.32,4.1,10.28,28.7,5.64,10.92
TaRh3,화합물,2,106.11,2.6,11.62,43.03,6.68,12.3
Sc2Bi2Cd3,합금,3,66.44,2.6,3.03,88.95,3.68,11.65
AgN,수소화물,2,4.13,4.5,6.99,30.32,4.05,172.88
Ga2IrO4Ba2,고온,4,57.36,2.7,5.7,5.79,7.22,49.79
S2P2Hg4As3V,고온,5,109.44,2.0,4.18,5.26,9.44,164.11
Rh3Pr3SiThTa3,고온,5,138.83,1.6,5.46,14.88,0.42,97.8
PMgCsRe,화합물,4,22.92,4.2,9.3,46.86,11.3,9.48
N2Sr2Hf4Mo2TlV2,고온,6,41.12,3.9,5.57,3.32,5.05,71.1
TaCu,합금,2,128.65,2.4,6.75,50.97,6.35,7.42
Ni2Te,합금,2,159.88,5.1,14.2,72.47,13.9,9.85
Nb,원소,1,94.02,2.0,17.42,253.52,2.4,2.07
N3Zn,화합물,2,37.85,2.3,8.4,10.86,2.66,12.63
Li2Y4C2Cs,화합물,4,148.4,5.9,13.33,6.82,2.8,4.76
NRhIr3,합금,3,100.23,3.0,3.57,13.1,9.03,3.79
Mo3Ta2Sc3Sm2Be2,고온,5,73.21,4.3,8.97,10.92,14.29,151.62
PdSeP,화합물,3,154.78,4.2,1.99,13.33,7.42,9.97
WHg2Sc,화합물,3,50.94,5.0,9.83,15.18,11.36,12.82
NdAg3Ti,화합물,3,77.66,4.5,11.08,39.55,4.34,7.72
In3BiNb,합금,3,71.54,1.5,3.96,67.77,6.92,12.6
As2Ir2PrPt,고온,4,68.73,3.2,4.54,6.78,10.05,117.05
Tb3,원소,1,230.29,5.0,11.44,267.22,8.54,6.37
Be3U2B4,수소화물,3,11.37,5.7,6.21,37.34,1.14,279.41
BeHgIrBiFTh3,고온,6,84.51,3.3,3.01,10.87,14.05,75.78
IrCu3,합금,2,23.0,3.5,12.56,138.37,9.55,13.7
Sc2,원소,1,85.0,3.0,13.64,363.18,3.92,0.0
Th2NaAs4TlAu4Cd3,고온,6,71.06,5.2,7.25,2.81,11.08,117.1
Li2Gd4Te3Nd,화합물,4,63.65,4.8,9.45,37.49,14.15,34.97
Pr3Sn2Ir3,화합물,3,89.77,5.7,9.75,35.95,5.5,20.23
Sc2Ta2Ti4OTb2,고온,5,121.45,4.2,7.38,3.22,5.01,108.96
In3,원소,1,153.41,5.0,20.08,382.08,2.25,10.5
RbPr2,화합물,2,125.59,3.1,9.17,17.72,6.57,4.47
CuHo,합금,2,61.53,2.1,4.8,42.98,5.51,0.0
MgAsRe2Ta3,고온,4,43.78,4.5,3.14,10.12,9.09,44.47
TbSbNi3,화합물,3,131.8,3.7,8.75,15.96,7.64,1.78
CCuK,화합물,3,69.27,5.1,3.77,22.42,13.5,20.41
Mg2,원소,1,90.07,4.0,14.01,39.07,6.75,4.54
FCs2Ni,화합물,3,63.83,5.4,5.51,42.82,13.56,7.65
NdLu3PtOs2,화합물,4,72.42,5.9,9.46,32.24,2.2,11.33
Sb2Bi2Ho2K,화합물,4,145.35,4.2,4.41,12.48,5.18,12.27
LiCo3RuW,화합물,4,111.31,5.6,2.74,36.11,4.7,13.23
BePt2CdAl3,고온,4,108.13,3.4,3.96,13.43,9.24,77.24
KFeGa4,화합물,3,109.84,3.9,3.17,42.66,12.44,9.33
MoNi2,합금,2,67.47,3.5,12.37,19.09,13.92,3.86
Re2Cs2,화합물,2,49.08,2.4,11.61,14.66,5.4,8.82
Ca2UPd2Eu3Cd,고온,5,82.17,5.5,4.5,2.98,0.95,44.01
AsIrNa2,화합물,3,112.07,5.2,2.61,17.14,4.61,17.26
RbNd3LuPd4Hf,고온,5,69.3,2.5,4.19,12.06,13.1,116.9
FeCo3Dy3Li,화합물,4,149.98,5.9,12.29,1.6,10.69,6.15
Hf4Sc2,화합물,2,131.19,4.9,12.48,46.46,4.82,18.23
Al4CCo2,화합물,3,34.03,1.5,8.59,36.6,12.09,14.61
F3,원소,1,216.54,3.0,14.27,26.41,2.01,2.46
BiNa,합금,2,55.91,4.3,4.9,47.1,12.34,3.35
O4,원소,1,215.32,3.0,7.69,85.76,7.33,0.0
Bi2Zn2Te3,화합물,3,115.6,4.2,6.23,48.62,5.69,7.45
Nb2Ta2Cu4Y3,화합물,4,36.25,3.5,6.55,43.35,13.99,1.41
PrEr3SrS2,화합물,4,94.63,2.7,13.03,26.54,4.02,2.62
AsFe2ZnCu2SnAg,고온,6,80.29,4.7,6.21,8.69,7.82,46.83
N4PHf2,합금,3,93.47,5.2,8.63,54.03,8.18,4.89
NbGaB,화합물,3,137.67,2.5,11.2,12.87,13.99,9.13
IrMg2Se2USc4,고온,5,89.76,2.5,5.71,11.13,6.19,151.35
Mo3Ti3Cu,합금,3,139.08,4.7,6.04,142.04,2.99,5.17
Rh3,원소,1,40.35,2.0,17.28,243.18,4.5,0.0
W4NiU2,화합물,3,108.2,3.9,13.61,38.1,4.68,9.59
CrY3,합금,2,37.51,2.1,8.65,137.68,9.42,4.36
S2AgNbRu4Cu3,고온,5,72.9,4.3,3.05,10.96,5.77,71.34
Be3B2Ho2SbAl3Au,고온,6,124.83,2.2,3.53,5.84,3.16,83.04
Ba4H2Fe4,화합물,3,147.09,5.2,5.11,7.65,12.2,21.96
Rh3HgBePb3O3Na,고온,6,92.85,3.1,6.24,1.02,14.57,72.02
Ge2Te2Nd2SmCaPb3,고온,6,39.18,3.4,5.18,5.93,6.66,131.5
N2Be,합금,2,146.94,2.9,6.03,8.05,12.49,18.2
MgZnRu3Dy2Gd2,고온,5,73.3,3.4,8.24,6.04,12.41,151.87
Er2Ir3Tb,화합물,3,21.87,2.1,5.29,33.78,3.6,3.98
CrHfAuC2,고온,4,116.49,1.7,5.97,5.03,8.27,60.9
GdN2O2PtZn2Sm2,고온,6,137.94,1.6,3.11,11.76,9.63,112.68
Zn3GaBa,화합물,3,147.78,1.5,8.76,29.4,7.03,0.93
NSm2Cu,합금,3,25.58,5.2,4.09,61.5,4.64,5.58
Pd2Sc2,합금,2,39.38,3.9,12.5,48.27,4.15,2.28
DySnCdBa2,화합물,4,122.46,4.7,8.39,18.81,6.07,39.06
La3HPt4Mg2Eu,고온,5,58.59,4.1,5.78,8.35,12.51,153.29
Mo3F2RePtV2,고온,5,50.8,4.8,4.32,1.74,10.67,156.03
Rh,원소,1,52.11,3.0,17.78,335.74,2.33,4.67
Ir4KLu,화합물,3,51.09,1.8,13.27,40.11,3.83,0.74
GeNa2Mo,화합물,3,124.51,2.3,2.37,10.61,8.94,9.34
Mg4H3Li4,합금,3,23.98,4.3,11.37,24.02,2.28,5.97
Pb3Th4,합금,2,46.6,2.1,5.63,37.51,13.51,7.05
HMg2,화합물,2,104.6,3.3,5.41,25.08,7.72,13.28
Pt4Ta3Lu3Rb2,고온,4,52.04,2.6,3.1,7.52,2.99,131.37
Bi3Er3Ag3Gd2,화합물,4,34.1,2.7,10.15,24.08,10.94,21.52
CdCrErSb,화합물,4,41.12,5.5,8.82,8.52,7.54,18.18
SbMg,화합물,2,28.59,5.9,11.31,27.44,12.67,7.94
W2Yb4,화합물,2,35.69,2.5,4.96,17.98,11.63,3.87
Ho4Cs2Ta2,수소화물,3,53.73,2.9,4.15,73.75,13.2,213.98
Tb4Cr,수소화물,2,35.91,3.4,2.66,72.05,11.74,149.11
BaLa,합금,2,79.32,2.7,13.18,16.24,4.65,7.88
Ca3Ag,화합물,2,12.31,4.2,12.75,15.77,1.87,8.02
PtVSi3Zr3,화합물,4,124.53,4.3,4.43,12.56,7.19,6.91
InCa3Pt2,화합물,3,153.58,4.8,9.37,47.24,12.04,13.41
Ni2,원소,1,132.21,2.0,8.24,317.38,6.01,0.0
Nd2Pr4,화합물,2,55.74,3.1,2.74,33.98,1.96,12.77
Nb2K4Yb,화합물,3,96.09,1.6,7.54,5.02,3.0,3.68
Zr3,원소,1,148.92,3.0,9.38,119.75,0.83,0.0
GaRb3B,합금,3,66.5,2.4,8.08,147.56,2.76,5.95
Cs3AlK4Tm3Th2Ag,고온,6,86.91,5.1,7.28,13.63,3.08,59.53
Sb4Ta4,합금,2,125.09,3.5,9.11,100.18,14.57,7.97
SbZn,합금,2,116.36,2.4,3.61,144.05,11.12,13.15
Ta4SeHg,화합물,3,91.54,1.8,2.17,7.64,9.14,13.73
Ni3V4,수소화물,2,17.42,3.2,4.6,9.65,11.64,246.49
Co4Sn,합금,2,101.74,3.2,12.99,129.87,13.13,15.42
Y2GaPd,화합물,3,97.06,3.9,2.04,5.85,2.71,4.12
Ho2Pr2Sr3GaNiCu,고온,6,69.72,2.5,7.74,13.49,10.18,107.02
Cd4Ge2,합금,2,105.77,3.0,6.02,58.51,12.38,5.11
Bi2Ce,화합물,2,65.7,3.6,10.99,26.58,0.21,19.79
CaSm3,화합물,2,125.95,2.8,11.42,43.33,2.24,0.55
ReFe3,화합물,2,143.7,4.6,13.24,33.21,12.67,9.1
Te2Ba3,화합물,2,137.65,4.1,5.53,14.32,0.67,8.59
Bi2Ti3,화합물,2,65.43,5.7,6.59,44.13,12.56,10.47
Mo4Ir4,합금,2,149.48,2.6,5.85,10.48,9.3,4.27
NNb2CrAs,고온,4,56.6,4.0,8.69,10.64,11.37,145.27
FMg2,화합물,2,112.55,4.7,1.74,19.65,12.63,6.53
YEu2Cs,합금,3,141.85,3.7,13.18,73.94,7.74,6.6
Sc,원소,1,57.59,2.0,14.36,270.42,2.52,7.53
Rh2F,화합물,2,23.42,3.4,8.76,40.3,12.25,5.93
B2FeAs,화합물,3,23.05,2.5,11.57,34.74,13.91,0.92
As,원소,1,146.46,5.0,21.33,378.58,2.95,7.26
VBe,화합물,2,20.15,3.6,11.09,7.38,14.49,8.04
PCr,합금,2,61.07,5.3,8.61,55.39,4.32,1.96
Eu2Ge4Mo3,화합물,3,118.04,5.1,2.74,39.4,9.92,8.99
Hg4Li4,합금,2,152.7,4.5,12.15,129.37,7.08,6.42
TiMn,화합물,2,71.92,2.5,12.2,15.26,1.9,3.25
VGeRb,화합물,3,68.74,5.6,2.2,18.46,5.02,13.16
Mn2InSi2PdW,고온,5,79.11,1.8,7.71,14.29,5.89,130.71
Rb2Sm2Yb,합금,3,55.67,3.1,3.77,129.56,7.98,9.24
S2Ho2Sm2La4,화합물,4,76.92,3.6,12.96,43.26,14.17,8.99
P2Sm2,합금,2,58.83,3.7,3.91,112.65,8.06,1.02
CrTh2NOsY2,고온,5,104.58,6.0,8.64,3.56,0.16,141.59
As3F2CuTeMg2Be,고온,6,48.05,4.8,4.57,10.98,11.03,44.23
Ga2Re,합금,2,114.65,5.0,14.02,131.43,10.81,13.05
AuCuFAs2,화합물,4,37.39,3.8,12.99,33.15,5.21,47.06
Te2NiSbV,고온,4,34.01,3.3,4.63,12.21,0.15,113.4
Dy2As,화합물,2,130.91,5.9,9.09,36.12,2.47,9.66
Sm4Pr,화합물,2,145.62,1.6,9.05,49.83,6.74,4.09
DyRe4,합금,2,129.04,4.2,7.38,105.59,7.97,2.36
Cr3Zr2Sb,합금,3,26.04,2.2,6.87,34.5,13.11,4.05
Ta2Ce2YSrCr2,고온,5,119.51,2.5,6.13,2.72,6.05,42.53
HSr2SiK,고온,4,66.84,5.6,5.2,12.47,14.53,106.72
La2Na3,화합물,2,95.04,5.9,6.14,21.77,8.16,8.53
Th3CuLu3Fe4,화합물,4,61.32,5.8,6.52,20.73,0.68,4.37
IrU2ZrRh2,화합물,4,28.0,1.8,1.77,7.58,4.81,0.0
MoLaLu2,화합물,3,154.08,5.4,13.64,10.71,1.18,7.13
Bi2GeN3Cd,고온,4,41.72,4.6,4.26,12.45,5.81,138.73
N2Nd2V2Pt3,고온,4,133.27,2.4,3.53,2.9,6.65,121.35
BeK3Hf2Sb2RePr,고온,6,130.6,2.0,8.85,6.84,3.92,39.01
C4Mn4,화합물,2,68.61,1.8,6.57,29.77,0.77,20.58
BN,합금,2,136.39,5.7,4.48,119.01,13.02,0.92
UTmN4,합금,3,98.05,1.6,13.62,17.47,6.15,5.66
Na3AlBaOs3Ni4Se,고온,6,49.11,3.6,8.99,6.98,1.13,118.92
CrHo4,화합물,2,27.27,4.7,10.14,27.46,3.29,29.79
Mn2,원소,1,40.5,3.0,5.35,74.52,2.68,0.0
CoMo2,합금,2,174.41,3.9,8.53,44.7,1.4,24.5
S4Rb,화합물,2,68.06,4.8,2.86,24.79,8.67,14.61
Nd4,원소,1,33.71,4.0,10.83,314.15,5.43,0.93
Ni2BeCr,합금,3,41.48,5.3,15.79,90.06,13.76,14.02
Cr3Pd4Na4,화합물,3,121.06,3.9,6.4,6.44,8.05,11.41
Y4Pd2Ba2,화합물,3,103.45,3.8,9.24,42.19,3.4,4.31
HoAuTh,화합물,3,88.65,5.6,12.84,32.55,12.22,7.99
Ti2Re2,합금,2,135.33,2.0,8.87,52.33,9.12,9.35
S3TeHo3,화합물,3,149.73,4.9,9.89,43.47,13.53,10.99
OsV3,합금,2,67.98,6.0,5.72,7.97,11.58,0.79
K2EuLi2,화합물,3,128.63,4.2,9.91,35.49,10.3,7.33
KGaGeB2Nd2Sm3,고온,6,73.37,5.1,4.29,10.46,6.06,102.94
Th3Dy4Sn3,화합물,3,95.04,3.6,6.79,38.52,11.2,7.17
BeZn4ErTaLa3Hf4,고온,6,117.93,3.1,6.7,8.58,12.99,139.47
Ge4Ti3,화합물,2,93.36,4.8,7.04,13.84,10.72,14.67
Lu3Zn3K2,화합물,3,37.34,3.0,8.48,47.56,2.73,10.71
NiVEu2,합금,3,113.06,4.8,13.3,92.9,5.04,23.2
AsPrP4,화합물,3,136.14,1.7,3.93,26.15,9.17,0.95
P3U,합금,2,116.0,2.0,8.74,144.39,14.35,3.18
Ta2W2Nb2,합금,3,27.95,5.1,3.6,29.83,2.31,3.37
CrHf3,수소화물,2,33.64,3.5,1.78,32.22,8.86,217.35
N4HBa,화합물,3,80.98,2.8,8.78,22.86,10.22,22.88
GdOsCr2Ca2,고온,4,61.55,4.4,4.44,3.54,11.34,143.42
GdTbCdYb,화합물,4,77.32,3.7,13.55,43.3,12.5,4.4
Si2Ti3Mn2SbB4,고온,5,55.71,5.8,5.88,1.52,14.47,78.02
Sm2YEu2,화합물,3,48.5,5.3,11.71,31.66,2.84,4.5
SiMg,화합물,2,32.13,6.0,12.34,8.31,1.47,5.15
Er3Tb,화합물,2,34.01,4.5,1.87,33.74,4.19,9.09
As2Os4P3,합금,3,157.34,4.8,8.29,35.75,8.01,3.57
BiNb2,화합물,2,129.3,5.6,10.98,32.56,6.24,8.19
InCo2Se3,화합물,3,12.96,5.8,2.03,2.64,4.82,15.76
Tm3,원소,1,150.49,5.0,5.54,93.26,6.61,8.65
B4Na,화합물,2,14.21,5.9,6.6,11.91,11.19,12.48
Li2Cs3Rh,합금,3,112.17,3.2,15.77,127.87,8.19,0.49
NbF3AlSi,고온,4,117.66,5.4,8.48,4.04,10.92,151.48
Cs3Ho2,수소화물,2,14.26,2.3,6.8,40.2,11.28,192.97
NZr3Pb2Sn2,고온,4,70.67,4.9,6.54,11.57,5.73,99.16
RuYN3Mo,화합물,4,115.11,2.3,7.53,28.32,13.16,10.09
Te,원소,1,143.05,5.0,4.48,298.86,3.92,6.87
W3Zn4GdDy3Mo2,고온,5,30.48,5.3,6.59,10.92,7.17,85.93
Li3ZnF3,화합물,3,84.58,2.9,3.54,18.49,5.35,2.98
MnSc3,수소화물,2,27.07,5.1,5.77,33.74,9.37,202.61
Tm4Os2Rh,수소화물,3,29.67,4.4,1.29,12.73,12.44,143.97
Lu3CrCu3La2MgBe,고온,6,43.75,2.8,7.73,6.16,8.49,79.69
ErAg2Zr2,화합물,3,132.33,3.8,8.67,47.97,2.04,9.57
Rb3PTi2Cr2,화합물,4,75.69,1.9,11.98,9.64,8.19,14.02
La2FeGe2Na3,고온,4,101.87,5.9,3.29,9.5,3.8,138.84
OEr,화합물,2,33.89,4.8,4.29,41.02,13.32,7.22
Lu3S4,합금,2,50.92,3.9,14.48,14.63,1.6,7.29
Ho3U2,화합물,2,84.2,5.4,1.65,44.11,8.99,11.21
Mo2SiTm3HoAg4,고온,5,100.01,4.3,5.69,5.63,3.53,92.02
BaW3Pt,화합물,3,21.36,2.9,4.93,37.33,5.86,26.14
Si2Pr3Rb2,화합물,3,66.91,5.0,5.45,40.28,1.05,10.67
WH2,합금,2,131.56,4.8,13.87,123.5,12.48,3.27
Ca3PbFe4,화합물,3,50.37,2.1,10.58,2.99,11.83,19.99
SbAu4,수소화물,2,38.6,2.6,6.13,5.57,3.19,121.29
Rb2Co,합금,2,102.87,4.5,11.17,66.1,9.92,2.1
YbSbSr4Lu2,화합물,4,128.26,5.5,6.55,21.72,12.32,21.38
Hf3Cd2S2Pt2In2,고온,5,137.43,3.1,4.12,14.13,13.98,131.67
SbBe2Ir2CrGd2In4,고온,6,69.5,1.9,4.49,8.72,9.21,142.96
CaGePb3Au,화합물,4,88.92,2.2,3.85,49.83,3.39,21.32
Re2Cr2,화합물,2,96.66,3.5,4.86,48.3,6.64,13.21
Ag2Y,화합물,2,155.13,2.3,2.8,40.54,1.91,3.06
BLu3Ti3Na,화합물,4,100.91,4.1,5.36,42.38,4.04,6.76
Gd4NCBa3Nb2Co,고온,6,86.74,3.0,8.23,12.25,5.56,151.56
SeCoN2Ru2,고온,4,99.89,1.7,4.58,5.38,4.89,93.39
Pd4Ba3Gd4Mg2C2,고온,5,39.51,2.8,7.53,2.47,3.44,66.45
BCs4Ho2Th3,고온,4,98.92,3.6,7.54,10.24,4.43,169.53
FS,화합물,2,126.04,2.5,8.68,3.83,9.42,2.86
NaHfTh,화합물,3,73.54,2.8,13.49,32.62,8.33,1.92
Si3Tb2SnIn3Os3,고온,5,32.56,5.1,6.09,1.34,4.54,160.8
Se2Bi2,화합물,2,82.14,4.2,3.47,43.92,8.38,5.86
F3SiRh,화합물,3,70.15,3.6,3.72,13.18,1.46,7.05
LuOs3PrCe2W3,고온,5,129.41,2.7,6.45,10.98,1.45,96.34
Th4Eu4Hf2Pd2Cs,고온,5,128.22,1.6,7.98,14.78,14.05,38.56
Zr2HoTe,화합물,3,31.18,2.3,7.1,27.99,8.5,12.21
Bi2SeHgMn3,화합물,4,36.71,2.0,11.98,19.5,7.36,11.77
TaIr3Sc3,합금,3,165.53,2.8,5.36,146.85,13.97,11.78
Nb3As4V2,화합물,3,60.3,1.5,12.53,38.57,10.8,5.89
Tl,원소,1,88.17,4.0,3.95,85.32,0.62,5.17
P2La2,화합물,2,48.8,3.5,13.59,9.62,9.0,3.68
SmSc3H,화합물,3,77.34,3.8,7.85,29.9,11.97,34.29
GeHfFe4,화합물,3,134.44,4.6,2.34,9.55,7.16,21.97
Tl3NiK,화합물,3,57.0,3.0,6.86,4.43,0.85,4.98
Sc,원소,1,107.8,2.0,17.49,231.0,9.0,1.92
P4,원소,1,79.4,4.0,1.7,139.4,4.32,0.51
Ni3NaTh2Se4Te2Zn,고온,6,39.94,3.7,3.96,6.96,11.07,85.85
Si2TaPt,화합물,3,101.55,3.2,3.24,5.37,0.37,10.81
Mg3V2,합금,2,37.06,5.9,13.18,131.3,1.31,12.54
SeB2As4,화합물,3,44.21,5.3,9.46,14.09,1.21,6.34
U2Na3Dy2AgCdRh4,고온,6,51.82,4.4,5.21,12.54,7.67,154.95
N4AsSi4,합금,3,145.83,1.5,13.6,82.13,8.14,1.42
Mg3V4,화합물,2,73.03,4.8,13.37,35.46,7.51,21.17
Na3Ho,합금,2,152.92,3.9,10.55,101.78,7.06,3.7
Ba3,원소,1,217.0,3.0,3.09,51.62,5.14,2.2
RbNd3,화합물,2,133.6,2.2,8.7,18.62,10.41,6.5
Pd2C2Sm2,화합물,3,102.95,6.0,6.82,7.41,10.47,21.2
Hg2OTaTl,화합물,4,58.01,2.5,11.12,6.8,5.6,5.65
La3Bi2Al2,화합물,3,126.39,3.5,3.38,40.89,6.9,13.11
Ta4Fe3C2,수소화물,3,59.57,5.7,3.78,52.27,4.62,108.53
CdEu3Ni4,화합물,3,31.44,2.0,9.23,21.9,11.13,6.13
BiS2,화합물,2,33.85,5.2,12.25,49.12,6.52,20.08
Zn2Os3K2Eu,고온,4,83.06,2.9,5.67,2.4,7.32,61.27
V2Si2Cd,합금,3,121.31,5.9,6.97,90.64,3.22,7.08
TaCu3K3,화합물,3,145.25,5.3,13.61,10.52,6.13,29.0
Hf,원소,1,31.36,4.0,9.53,311.8,3.05,4.88
Rh3,원소,1,141.72,4.0,18.67,86.56,1.54,4.14
Yb2Al3,수소화물,2,57.94,5.0,6.4,34.99,11.82,198.79
Sr3N2Se3In,고온,4,39.95,5.6,7.72,10.77,11.92,96.05
ScRbBeEu2,화합물,4,70.76,4.5,6.54,49.0,0.2,6.6
PtLu2WLa3,화합물,4,28.01,5.1,13.68,32.27,7.33,7.65
H2Ge3Rh2,합금,3,99.46,2.2,15.96,105.93,10.09,2.12
Mo2PrDy,합금,3,85.29,1.9,7.35,132.02,8.0,2.04
PtSn2,합금,2,107.56,5.6,4.64,17.39,14.76,7.09
TaTl2ThZr2,화합물,4,22.79,2.9,13.71,48.11,11.36,5.54
Rb4Hg4Cu,화합물,3,90.94,3.1,2.3,7.55,7.15,28.31
Cd2Mo2Zn2,화합물,3,73.47,3.7,6.27,33.57,12.0,6.17
OsNiFe,합금,3,126.96,3.6,10.71,43.98,10.14,3.02
V3W3,수소화물,2,49.22,3.5,5.53,20.08,8.0,120.03
Ni2HoPr3Pb3WSm,고온,6,95.94,3.6,4.87,10.58,2.72,70.69
Ba2Au2,화합물,2,142.69,3.0,11.57,47.56,8.52,8.54
CrGa2GdSr,화합물,4,74.34,5.0,10.92,47.99,7.44,10.91
HoO3,화합물,2,74.33,5.6,8.23,31.93,10.83,11.84
Pd2CrNi,합금,3,164.82,3.7,5.5,91.71,13.78,1.79
MnCs2Fe,화합물,3,56.28,3.3,10.46,11.18,4.17,5.2
Dy3CaAlYb2AuRu,고온,6,86.57,5.4,3.4,11.64,6.5,145.08
Cs3,원소,1,84.28,4.0,18.06,21.57,7.83,2.24
H2SMn3,합금,3,36.25,1.7,6.75,75.37,10.32,0.0
Fe,원소,1,183.8,4.0,12.31,233.36,2.91,2.15
La3,원소,1,12.48,3.0,17.7,370.46,4.76,8.72
Si2Al3ThSe4HfSr3,고온,6,73.64,3.6,3.76,4.15,3.47,60.01
EuBe3F,화합물,3,49.64,2.3,3.45,6.26,7.18,7.17
B2RhYbTa4,화합물,4,108.67,5.7,8.61,14.72,3.1,11.47
CaLaCe3,합금,3,63.69,5.6,7.6,63.31,2.48,6.81
Nd3Yb3Fe2La,화합물,4,58.91,3.8,4.84,30.78,10.67,7.94
Ru2Zn2,화합물,2,115.61,2.6,4.04,13.79,14.18,5.69
Ta2PdV2,합금,3,69.36,4.0,14.47,42.6,9.16,12.68
Be2Co2Nd,화합물,3,80.01,5.3,4.61,40.23,4.29,5.58
AgS2Na4Cr3,화합물,4,129.84,1.9,10.37,39.92,10.75,19.22
TmNd2La,화합물,3,118.93,5.7,10.12,33.02,11.18,10.02
SeZr2Cd,화합물,3,117.17,5.7,11.67,21.22,3.73,23.03
Pb2,원소,1,112.92,3.0,14.34,388.25,1.54,5.59
HO,화합물,2,42.92,5.3,13.46,36.82,11.86,18.17
LuNbSm,화합물,3,148.16,2.7,11.68,45.07,6.72,0.56
Sm2Tb3,화합물,2,63.09,5.8,11.32,27.09,5.76,0.0
Se4Cd4CaCo2,고온,4,129.82,5.1,8.75,10.63,0.94,52.42
SnZn4Au2K3,화합물,4,107.3,4.3,8.44,40.59,5.89,14.9
Ge3K,합금,2,88.76,2.4,9.01,111.02,6.09,14.97
Fe3,원소,1,14.08,4.0,9.55,399.65,1.5,2.27
Pr4UGd3,화합물,3,24.2,2.2,3.35,16.06,12.95,5.95
Ti,원소,1,214.93,5.0,16.41,208.81,5.43,4.23
Os3MoAl,화합물,3,108.16,1.9,3.51,13.58,1.12,9.15
Mn4P3S2Gd,고온,4,110.72,2.8,8.89,7.95,9.97,57.14
